ticket_id,customer_id,ticket_month,reason,resolved_flag
TKT000001,CUST000016,2025-01-01,Late payment inquiry,1
TKT000002,CUST000016,2025-03-01,Late payment inquiry,1
TKT000003,CUST000016,2025-04-01,Late payment inquiry,1
TKT000004,CUST000016,2025-06-01,Fraud concern,1
TKT000005,CUST000016,2025-06-01,Fee complaint,1
TKT000006,CUST000016,2025-07-01,Rewards points issue,1
TKT000007,CUST000016,2025-08-01,Late payment inquiry,1
TKT000008,CUST000016,2025-08-01,Rewards points issue,1
TKT000009,CUST000016,2025-08-01,Fee complaint,1
TKT000010,CUST000016,2025-08-01,Card not working,1
TKT000011,CUST000016,2025-08-01,App/website login issue,1
TKT000012,CUST000016,2025-09-01,General inquiry,1
TKT000013,CUST000016,2025-11-01,Fee complaint,1
TKT000014,CUST000016,2025-12-01,Requesting card cancellation,1
TKT000015,CUST000016,2025-12-01,Fee complaint,1
TKT000016,CUST000018,2025-08-01,Late payment inquiry,1
TKT000017,CUST000019,2025-01-01,Rewards points issue,1
TKT000018,CUST000019,2025-01-01,Late payment inquiry,1
TKT000019,CUST000019,2025-03-01,Rewards points issue,1
TKT000020,CUST000019,2025-03-01,Billing dispute,1
TKT000021,CUST000019,2025-10-01,Card not working,1
TKT000022,CUST000019,2025-10-01,Card not working,1
TKT000023,CUST000019,2025-11-01,Fee complaint,1
TKT000024,CUST000019,2025-12-01,Fee complaint,1
TKT000025,CUST000019,2025-12-01,Requesting card cancellation,1
TKT000026,CUST000022,2025-02-01,Fee complaint,1
TKT000027,CUST000022,2025-03-01,Billing dispute,1
TKT000028,CUST000022,2025-03-01,App/website login issue,1
TKT000029,CUST000022,2025-07-01,Fraud concern,1
TKT000030,CUST000022,2025-07-01,Billing dispute,1
TKT000031,CUST000022,2025-08-01,Fee complaint,1
TKT000032,CUST000022,2025-09-01,App/website login issue,1
TKT000033,CUST000022,2025-09-01,Requesting card cancellation,0
TKT000034,CUST000022,2025-10-01,Requesting credit limit increase,1
TKT000035,CUST000022,2025-11-01,Rewards points issue,1
TKT000036,CUST000022,2025-11-01,Card not working,1
TKT000037,CUST000022,2025-12-01,Late payment inquiry,1
TKT000038,CUST000022,2025-12-01,Rewards points issue,1
TKT000039,CUST000027,2025-01-01,Billing dispute,1
TKT000040,CUST000027,2025-05-01,General inquiry,1
TKT000041,CUST000027,2025-09-01,General inquiry,1
TKT000042,CUST000027,2025-09-01,Card not working,1
TKT000043,CUST000027,2025-10-01,Requesting card cancellation,1
TKT000044,CUST000030,2025-06-01,Billing dispute,1
TKT000045,CUST000030,2025-06-01,Fraud concern,0
TKT000046,CUST000030,2025-07-01,General inquiry,1
TKT000047,CUST000031,2025-01-01,Billing dispute,1
TKT000048,CUST000031,2025-03-01,Billing dispute,1
TKT000049,CUST000031,2025-04-01,Fee complaint,1
TKT000050,CUST000031,2025-05-01,Requesting card cancellation,1
TKT000051,CUST000031,2025-07-01,Fraud concern,1
TKT000052,CUST000031,2025-08-01,Fraud concern,1
TKT000053,CUST000031,2025-09-01,Rewards points issue,1
TKT000054,CUST000031,2025-11-01,Late payment inquiry,1
TKT000055,CUST000031,2025-12-01,Card not working,1
TKT000056,CUST000032,2025-01-01,Late payment inquiry,1
TKT000057,CUST000032,2025-01-01,Fraud concern,1
TKT000058,CUST000032,2025-01-01,Requesting card cancellation,1
TKT000059,CUST000032,2025-03-01,Rewards points issue,1
TKT000060,CUST000032,2025-04-01,App/website login issue,1
TKT000061,CUST000032,2025-04-01,Billing dispute,1
TKT000062,CUST000032,2025-05-01,App/website login issue,1
TKT000063,CUST000032,2025-06-01,General inquiry,1
TKT000064,CUST000032,2025-06-01,Requesting card cancellation,1
TKT000065,CUST000032,2025-07-01,Billing dispute,1
TKT000066,CUST000032,2025-09-01,Billing dispute,0
TKT000067,CUST000032,2025-09-01,App/website login issue,1
TKT000068,CUST000032,2025-10-01,Late payment inquiry,1
TKT000069,CUST000032,2025-11-01,Fraud concern,1
TKT000070,CUST000032,2025-12-01,Fee complaint,1
TKT000071,CUST000035,2025-10-01,App/website login issue,1
TKT000072,CUST000035,2025-10-01,Billing dispute,0
TKT000073,CUST000038,2025-08-01,App/website login issue,1
TKT000074,CUST000038,2025-09-01,Fee complaint,1
TKT000075,CUST000038,2025-09-01,Billing dispute,1
TKT000076,CUST000043,2025-06-01,Fee complaint,1
TKT000077,CUST000043,2025-07-01,Requesting card cancellation,0
TKT000078,CUST000050,2025-01-01,Billing dispute,0
TKT000079,CUST000050,2025-03-01,App/website login issue,0
TKT000080,CUST000050,2025-03-01,Rewards points issue,0
TKT000081,CUST000050,2025-04-01,Rewards points issue,1
TKT000082,CUST000050,2025-05-01,Requesting credit limit increase,1
TKT000083,CUST000050,2025-06-01,Rewards points issue,1
TKT000084,CUST000050,2025-06-01,Card not working,1
TKT000085,CUST000050,2025-06-01,Fee complaint,1
TKT000086,CUST000050,2025-06-01,Fee complaint,1
TKT000087,CUST000050,2025-07-01,Fraud concern,0
TKT000088,CUST000050,2025-07-01,Fee complaint,0
TKT000089,CUST000050,2025-08-01,Fee complaint,1
TKT000090,CUST000050,2025-08-01,Rewards points issue,1
TKT000091,CUST000050,2025-08-01,Late payment inquiry,1
TKT000092,CUST000050,2025-08-01,Rewards points issue,0
TKT000093,CUST000050,2025-09-01,Card not working,1
TKT000094,CUST000050,2025-09-01,Rewards points issue,1
TKT000095,CUST000050,2025-09-01,App/website login issue,1
TKT000096,CUST000050,2025-11-01,Rewards points issue,1
TKT000097,CUST000051,2025-07-01,Billing dispute,1
TKT000098,CUST000054,2025-01-01,Fee complaint,1
TKT000099,CUST000054,2025-02-01,Fee complaint,1
TKT000100,CUST000054,2025-02-01,Billing dispute,1
TKT000101,CUST000054,2025-02-01,Billing dispute,1
TKT000102,CUST000054,2025-02-01,Late payment inquiry,1
TKT000103,CUST000054,2025-03-01,Fee complaint,0
TKT000104,CUST000054,2025-03-01,Requesting card cancellation,1
TKT000105,CUST000054,2025-03-01,Requesting card cancellation,1
TKT000106,CUST000054,2025-03-01,Rewards points issue,1
TKT000107,CUST000054,2025-04-01,Fee complaint,1
TKT000108,CUST000054,2025-05-01,General inquiry,1
TKT000109,CUST000054,2025-06-01,Requesting credit limit increase,1
TKT000110,CUST000054,2025-06-01,Rewards points issue,1
TKT000111,CUST000054,2025-08-01,Rewards points issue,1
TKT000112,CUST000054,2025-08-01,App/website login issue,1
TKT000113,CUST000054,2025-08-01,Billing dispute,1
TKT000114,CUST000054,2025-08-01,Billing dispute,1
TKT000115,CUST000054,2025-09-01,Fee complaint,1
TKT000116,CUST000054,2025-09-01,Fee complaint,0
TKT000117,CUST000054,2025-10-01,Rewards points issue,1
TKT000118,CUST000054,2025-10-01,General inquiry,1
TKT000119,CUST000054,2025-10-01,Requesting card cancellation,0
TKT000120,CUST000054,2025-10-01,Billing dispute,1
TKT000121,CUST000054,2025-11-01,Billing dispute,1
TKT000122,CUST000054,2025-11-01,Late payment inquiry,1
TKT000123,CUST000054,2025-11-01,Billing dispute,1
TKT000124,CUST000054,2025-11-01,Billing dispute,0
TKT000125,CUST000054,2025-12-01,Rewards points issue,1
TKT000126,CUST000054,2025-12-01,Rewards points issue,1
TKT000127,CUST000054,2025-12-01,Requesting credit limit increase,1
TKT000128,CUST000062,2025-01-01,Late payment inquiry,1
TKT000129,CUST000062,2025-02-01,General inquiry,1
TKT000130,CUST000062,2025-03-01,General inquiry,0
TKT000131,CUST000062,2025-03-01,Fee complaint,1
TKT000132,CUST000062,2025-03-01,General inquiry,1
TKT000133,CUST000062,2025-03-01,Billing dispute,1
TKT000134,CUST000062,2025-06-01,Fee complaint,1
TKT000135,CUST000062,2025-06-01,Requesting card cancellation,1
TKT000136,CUST000062,2025-08-01,Rewards points issue,1
TKT000137,CUST000062,2025-08-01,App/website login issue,1
TKT000138,CUST000062,2025-12-01,Fee complaint,1
TKT000139,CUST000062,2025-12-01,Late payment inquiry,1
TKT000140,CUST000063,2025-07-01,Fraud concern,1
TKT000141,CUST000063,2025-07-01,Billing dispute,1
TKT000142,CUST000067,2025-08-01,Card not working,1
TKT000143,CUST000069,2025-10-01,Fraud concern,1
TKT000144,CUST000074,2025-10-01,Late payment inquiry,1
TKT000145,CUST000074,2025-11-01,Fee complaint,1
TKT000146,CUST000078,2025-01-01,Requesting card cancellation,0
TKT000147,CUST000078,2025-01-01,Late payment inquiry,1
TKT000148,CUST000078,2025-02-01,Requesting card cancellation,1
TKT000149,CUST000078,2025-03-01,Requesting card cancellation,1
TKT000150,CUST000078,2025-07-01,Fraud concern,1
TKT000151,CUST000078,2025-08-01,Billing dispute,1
TKT000152,CUST000078,2025-08-01,Requesting card cancellation,1
TKT000153,CUST000078,2025-08-01,Billing dispute,1
TKT000154,CUST000078,2025-08-01,Fraud concern,1
TKT000155,CUST000078,2025-08-01,Fee complaint,1
TKT000156,CUST000078,2025-09-01,Fee complaint,1
TKT000157,CUST000078,2025-09-01,Requesting credit limit increase,1
TKT000158,CUST000078,2025-10-01,General inquiry,1
TKT000159,CUST000078,2025-11-01,Billing dispute,0
TKT000160,CUST000078,2025-12-01,Card not working,1
TKT000161,CUST000081,2025-01-01,Late payment inquiry,1
TKT000162,CUST000081,2025-04-01,Requesting card cancellation,1
TKT000163,CUST000081,2025-04-01,General inquiry,0
TKT000164,CUST000081,2025-09-01,Card not working,1
TKT000165,CUST000081,2025-10-01,Requesting credit limit increase,1
TKT000166,CUST000081,2025-11-01,General inquiry,1
TKT000167,CUST000081,2025-11-01,App/website login issue,1
TKT000168,CUST000081,2025-12-01,Rewards points issue,0
TKT000169,CUST000081,2025-12-01,General inquiry,1
TKT000170,CUST000090,2025-01-01,Billing dispute,1
